X,Y,publicaddress,caseNumber,precinct,reportedDate,reportedTime,beginDate,reportedDateTime,beginTime,offense,description,UCRCode,enteredDate,centergbsid,centerLong,centerLat,centerX,centerY,neighborhood,lastchanged,LastUpdateDateETL,OBJECTID
-93.2113690950065,44.9144511412522,0049XX SOUTH MINNEHAHA PARK DR,MP2018164687        ,3     ,2018/08/07 00:00:00+00,1627,2018/08/07 00:00:00+00,2018/08/07 16:27:00+00,1215,BIKETF  ,BIKE THEFT                    ,07,2018/08/07 00:00:00+00,17786,-93.21136,44.91445,-10376242.1438,5608063.6088,Hiawatha,2018/10/25 00:00:00+00,2022/03/17 09:10:30+00,1
-93.2550182732894,44.9438363857633,0032XX 14TH AVE S,MP2018168011        ,3     ,2018/11/03 00:00:00+00,837,2018/11/03 00:00:00+00,2018/11/03 08:37:00+00,0,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2018/11/03 00:00:00+00,11604,-93.25501,44.94383,-10381101.1481,5612684.0039,Powderhorn Park,2018/11/03 00:00:00+00,2022/03/17 09:10:30+00,2
-93.3135112259036,44.9244497725556,0025XX 43RD ST W,MP201818191203      ,5     ,2018/06/10 00:00:00+00,1237,2018/06/10 00:00:00+00,2018/06/10 12:37:00+00,1237,ARSON   ,ARSON                         ,10 ,2018/06/11 00:00:00+00,12543,-93.31351,44.92444,-10387612.5538,5609635.4804,Linden Hills,2018/06/12 00:00:00+00,2022/03/17 09:10:30+00,3
-93.2716992676667,45.0080359539214,0021XX MARSHALL ST NE,MP201818293007      ,2     ,2018/08/30 00:00:00+00,2118,2018/08/30 00:00:00+00,2018/08/30 21:18:00+00,1800,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/08/31 00:00:00+00,15276,-93.27169,45.00803,-10382958.0679,5622786.6714,Bottineau,2018/08/31 00:00:00+00,2022/03/17 09:10:30+00,4
-93.2776008226892,44.9881666585411,0007XX WASHINGTON AVE N,MP201818399499      ,1     ,2018/12/04 00:00:00+00,2000,2018/12/03 00:00:00+00,2018/12/04 20:00:00+00,2000,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/12/05 00:00:00+00,14827,-93.2776,44.98816,-10383615.026,5619658.7611,North Loop,2018/12/06 00:00:00+00,2022/03/17 09:10:30+00,5
-93.2625794163921,44.9582215628105,0024XX CHICAGO AVE,MP2018184309        ,3     ,2018/06/05 00:00:00+00,202,2018/06/05 00:00:00+00,2018/06/05 02:02:00+00,56,THEFT   ,OTHER THEFT                   ,07 ,2018/06/05 00:00:00+00,18932,-93.26257,44.95822,-10381942.8507,5614946.7225,Midtown Phillips,2018/06/05 00:00:00+00,2022/03/17 09:10:30+00,6
-93.242882763233,44.9950984845249,0011XX SPRING ST NE,MP2018184342        ,2     ,2018/06/05 00:00:00+00,330,2018/06/05 00:00:00+00,2018/06/05 03:30:00+00,151,DASTR   ,DOMESTIC ASSAULT/STRANGULATION,05,2018/06/05 00:00:00+00,15760,-93.24288,44.99509,-10379750.2293,5620749.8759,Northeast Park,2018/06/05 00:00:00+00,2022/03/17 09:10:30+00,7
-93.2575540457583,44.9061706541663,0053XX 12TH AVE S,MP2018184374        ,3     ,2018/06/05 00:00:00+00,412,2018/06/05 00:00:00+00,2018/06/05 04:12:00+00,250,BURGD   ,BURGLARY OF DWELLING          ,06 ,2018/06/05 00:00:00+00,14272,-93.25755,44.90617,-10381383.429,5606762.0514,Hale,2018/09/12 00:00:00+00,2022/03/17 09:10:30+00,8
-93.2812651594293,44.9715712995104,0004XX GREENWAY GABLES,MP2018184387        ,1     ,2018/06/05 00:00:00+00,400,2018/06/05 00:00:00+00,2018/06/05 04:00:00+00,245,CSCR    ,CSC - RAPE                    ,03 ,2018/06/05 00:00:00+00,17268,-93.28126,44.97157,-10384022.9381,5617047.0789,Loring Park,2018/09/13 00:00:00+00,2022/03/17 09:10:30+00,9
-93.2575540457583,44.9061706541663,0053XX 12TH AVE S,MP2018184395        ,3     ,2018/06/05 00:00:00+00,415,2018/06/05 00:00:00+00,2018/06/05 04:15:00+00,338,BURGD   ,BURGLARY OF DWELLING          ,06 ,2018/06/05 00:00:00+00,14272,-93.25755,44.90617,-10381383.429,5606762.0514,Hale,2018/09/12 00:00:00+00,2022/03/17 09:10:30+00,10
