OID_,Status,Score,Match_type,Match_addr,LongLabel,ShortLabel,Addr_type,Type,PlaceName,Place_addr,Phone,URL,Rank,AddBldg,AddNum,AddNumFrom,AddNumTo,AddRange,Side,StPreDir,StPreType,StName,StType,StDir,BldgType,BldgName,LevelType,LevelName,UnitType,UnitName,SubAddr,StAddr,Block,Sector,Nbrhd,District,City,MetroArea,Subregion,Region,RegionAbbr,Territory,Zone,Postal,PostalExt,Country,CntryName,LangCode,Distance,X,Y,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax,ExInfo,IN_SingleLine,USER_combined
1,M,95.500000000000000,A,E 10th St & Broadway St,E 10th St & Broadway St,E 10th St & Broadway St,StreetInt,,,E 10th St & Broadway St,,,20.000000000000000,,,,,,,,,,,,,,,,,,,E 10th St & Broadway St,,,,,,,,,,,,,,,USA,ENG,0.000000000000000,-93.088630302656824,44.953803997886524,-93.088630302656824,44.953803997886524,-93.089630302508155,-93.087630302805493,44.952803998101992,44.954803997671071,,10 ST E & BROADWAY ST,10 ST E & BROADWAY ST
2,M,87.349999999999994,A,E 10th St & N Minnesota St,E 10th St & N Minnesota St,E 10th St & N Minnesota St,StreetInt,,,E 10th St & N Minnesota St,,,20.000000000000000,,,,,,,,,,,,,,,,,,,E 10th St & N Minnesota St,,,,,,,,,,,,,,,USA,ENG,0.000000000000000,-93.095848301010008,44.950761998831290,-93.095848301010008,44.950761998831290,-93.096848300861367,-93.094848301158635,44.949761999046771,44.951761998615829,,10 ST E & MINNESOTA ST,10 ST E & MINNESOTA ST
3,M,86.540000000000006,A,E 10th St & N Pine St,E 10th St & N Pine St,E 10th St & N Pine St,StreetInt,,,E 10th St & N Pine St,,,20.000000000000000,,,,,,,,,,,,,,,,,,,E 10th St & N Pine St,,,,,,,,,,,,,,,USA,ENG,0.000000000000000,-93.087788802841899,44.954208997769030,-93.087788802841899,44.954208997769030,-93.088788802693230,-93.086788802990569,44.953208997984483,44.955208997553555,,10 ST E & PINE ST,10 ST E & PINE ST
4,M,92.000000000000000,A,E 10th St & Robert St N,E 10th St & Robert St N,E 10th St & Robert St N,StreetInt,,,E 10th St & Robert St N,,,20.000000000000000,,,,,,,,,,,,,,,,,,,E 10th St & Robert St N,,,,,,,,,,,,,,,USA,ENG,0.000000000000000,-93.094637801275880,44.951346998661904,-93.094637801275880,44.951346998661904,-93.095637801127225,-93.093637801424535,44.950346998877379,44.952346998446430,,10 ST E & ROBERT ST,10 ST E & ROBERT ST
5,M,87.349999999999994,A,E 10th St & N Sibley St,E 10th St & N Sibley St,E 10th St & N Sibley St,StreetInt,,,E 10th St & N Sibley St,,,20.000000000000000,,,,,,,,,,,,,,,,,,,E 10th St & N Sibley St,,,,,,,,,,,,,,,USA,ENG,0.000000000000000,-93.091600301945675,44.952795998239651,-93.091600301945675,44.952795998239651,-93.092600301797034,-93.090600302094330,44.951795998455111,44.953795998024191,,10 ST E & SIBLEY ST,10 ST E & SIBLEY ST
6,M,95.500000000000000,A,E 10th St & Temperance St,E 10th St & Temperance St,E 10th St & Temperance St,StreetInt,,,E 10th St & Temperance St,,,20.000000000000000,,,,,,,,,,,,,,,,,,,E 10th St & Temperance St,,,,,,,,,,,,,,,USA,ENG,0.000000000000000,-93.092198801812827,44.952516998321897,-93.092198801812827,44.952516998321897,-93.093198801664158,-93.091198801961468,44.951516998537350,44.953516998106444,,10 ST E & TEMPERANCE ST,10 ST E & TEMPERANCE ST
7,M,92.349999999999994,A,E 10th St & Wabasha St N,E 10th St & Wabasha St N,E 10th St & Wabasha St N,StreetInt,,,E 10th St & Wabasha St N,,,20.000000000000000,,,,,,,,,,,,,,,,,,,E 10th St & Wabasha St N,,,,,,,,,,,,,,,USA,ENG,0.000000000000000,-93.098485300376893,44.949879999142944,-93.098485300376893,44.949879999142944,-93.099485300228281,-93.097485300525520,44.948879999358404,44.950879998927469,,10 ST E & WABASHA ST,10 ST E & WABASHA ST
8,M,87.659999999999997,A,E 10th St & N Wacouta St,E 10th St & N Wacouta St,E 10th St & N Wacouta St,StreetInt,,,E 10th St & N Wacouta St,,,20.000000000000000,,,,,,,,,,,,,,,,,,,E 10th St & N Wacouta St,,,,,,,,,,,,,,,USA,ENG,0.000000000000000,-93.090542802182654,44.953272998096651,-93.090542802182654,44.953272998096651,-93.091542802033999,-93.089542802331309,44.952272998312132,44.954272997881191,,10 ST E & WACOUTA ST,10 ST E & WACOUTA ST
9,M,93.760000000000005,A,W 10th St & I- 35E,W 10th St & I- 35E,W 10th St & I- 35E,StreetInt,,,W 10th St & I- 35E,,,20.000000000000000,,,,,,,,,,,,,,,,,,,W 10th St & I- 35E,,,,,,,,,,,,,,,USA,ENG,0.000000000000000,-93.102589299339073,44.948889999572003,-93.102589299339073,44.948889999572003,-93.103589299190475,-93.101589299487685,44.947889999787471,44.949889999356536,FW,10 ST W & I35E FW,10 ST W & I35E FW
10,M,86.540000000000006,A,W 10th St & N Main St,W 10th St & N Main St,W 10th St & N Main St,StreetInt,,,W 10th St & N Main St,,,20.000000000000000,,,,,,,,,,,,,,,,,,,W 10th St & N Main St,,,,,,,,,,,,,,,USA,ENG,0.000000000000000,-93.101846799555162,44.948862999524493,-93.101846799555162,44.948862999524493,-93.102846799406549,-93.100846799703774,44.947862999739939,44.949862999309012,,10 ST W & MAIN ST,10 ST W & MAIN ST
